county_fips,state,county,county_name,total_hh,eligible_hh,enrolled_hh,gap_hh,gap_rate,lep_hh,lep_share,noncitizen_share,no_hs_share,high_income_share,poverty_share,child_share,senior_share,no_broadband_share,disability_share,disability_poverty_share,poverty_rate,child_poverty_rate,senior_poverty_rate,gap_hh_rank,gap_rate_rank,gap_severity,gap_score,score_language,score_documentation,score_awareness,score_stigma,top_barrier,barrier_rank,barrier_scores
01001,01,001,"Autauga County, Alabama",22523,4803.5,1974,2829.5,0.58904965129593,110,0.004883896461395,0.0118411065193556,0.0972109794686879,0.5741242285663544,0.0669093815211117,0.2348992156532006,0.1598043349919878,0.0763219819739821,0.1585988473719735,0.0225160519894082,0.106843064139892,0.0812149935372684,0.0835972134262191,804,1010,high,66.99,31.87,42.46,35.62,58.84,stigma,"[""stigma"", ""documentation"", ""awareness"", ""language""]","{""language"": 31.87, ""documentation"": 42.46, ""awareness"": 35.62, ""stigma"": 58.84}"
01003,01,003,"Baldwin County, Alabama",94642,18954.0,6480,12474.0,0.6581196581196581,798,0.008431774476448,0.0214424138865156,0.0826860013489313,0.5879524946641026,0.0796897783225206,0.2130821646627352,0.2139073537685719,0.0819509308763551,0.1355369232990987,0.0202094854608935,0.1051469871759567,0.0753403223282741,0.0556053462182909,175,611,critical,80.2,47.59,61.1,19.33,74.59,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 47.59, ""documentation"": 61.1, ""awareness"": 19.33, ""stigma"": 74.59}"
01005,01,005,"Barbour County, Alabama",9080,3745.0,2013,1732.0,0.4624833110814419,224,0.024669603524229,0.0170860766651856,0.2218629453142727,0.3814977973568282,0.1707048458149779,0.2092741446863513,0.1971563598174253,0.2045154185022026,0.1844355099588705,0.0419150607699061,0.2192147806004619,0.1324068712603744,0.1165744724441712,1251,1963,moderate,53.72,77.37,54.11,73.39,54.51,language,"[""language"", ""awareness"", ""stigma"", ""documentation""]","{""language"": 77.37, ""documentation"": 54.11, ""awareness"": 73.39, ""stigma"": 54.51}"
01007,01,007,"Bibb County, Alabama",7571,2528.0,1535,993.0,0.3928006329113924,53,0.0070003962488442,0.0104730949801372,0.1965978281338271,0.4464403645489367,0.1434420816272619,0.2012459371614301,0.1695557963163597,0.1695945053493594,0.2005395250252902,0.0499060648393467,0.2051158533648056,0.0984746523104531,0.1946219382321618,1846,2394,moderate,41.0,42.29,38.71,74.62,49.54,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 42.29, ""documentation"": 38.71, ""awareness"": 74.62, ""stigma"": 49.54}"
01009,01,009,"Blount County, Alabama",21977,5924.0,2706,3218.0,0.5432140445644834,398,0.018109842107658,0.0293968832220198,0.1730379839476958,0.5077581107521499,0.1150293488647222,0.2317007353437226,0.1858429467719085,0.138053419484006,0.187414757228587,0.040592607746863,0.1409528679792039,0.0816712767506187,0.0828568835647518,722,1320,high,65.97,69.77,71.01,56.0,66.0,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 69.77, ""documentation"": 71.01, ""awareness"": 56.0, ""stigma"": 66.0}"
01011,01,011,"Bullock County, Alabama",3453,1546.0,1137,409.0,0.2645536869340233,35,0.0101361135244714,0.0207738505464211,0.2595554350772567,0.3110338835794961,0.2296553721401679,0.2072462341242492,0.1788914049424042,0.2791775267883,0.1540818559859925,0.0419128912234624,0.2565112716130444,0.2750593824228028,0.1056686846450192,2625,2915,low,22.49,52.96,60.15,88.61,42.55,awareness,"[""awareness"", ""documentation"", ""language"", ""stigma""]","{""language"": 52.96, ""documentation"": 60.15, ""awareness"": 88.61, ""stigma"": 42.55}"
01013,01,013,"Butler County, Alabama",7262,2691.0,1189,1502.0,0.5581568190263843,37,0.0050950151473423,0.0072845217206359,0.1240504405955636,0.3912145414486367,0.1086477554392729,0.2243313659807518,0.2140692295421917,0.1531258606444505,0.1626496235714672,0.0314141797107729,0.2101586613960036,0.0978904953780516,0.1393442622950819,1403,1227,high,56.14,33.34,28.77,60.99,46.47,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 33.34, ""documentation"": 28.77, ""awareness"": 60.99, ""stigma"": 46.47}"
01015,01,015,"Calhoun County, Alabama",45125,13577.5,7764,5813.5,0.4281716074387774,457,0.0101274238227146,0.0123298404525533,0.1391379551553537,0.4641994459833795,0.137573407202216,0.2137832462265694,0.180289475723474,0.1208864265927977,0.2087428172493421,0.0482788249825465,0.1746218817521115,0.109670143783479,0.1203018291226897,412,2202,moderate,65.03,52.9,43.92,42.42,54.07,stigma,"[""stigma"", ""language"", ""documentation"", ""awareness""]","{""language"": 52.9, ""documentation"": 43.92, ""awareness"": 42.42, ""stigma"": 54.07}"
01017,01,017,"Chambers County, Alabama",13419,4455.5,2300,2155.5,0.4837840870833801,142,0.0105820105820105,0.0238896952104499,0.1637804280346348,0.4277516953573291,0.1258663089649005,0.2072859216255442,0.1998258345428156,0.1827259855428869,0.2096577562368053,0.0452558651244387,0.1548007838014369,0.1043271250525136,0.0874491574665892,1043,1781,moderate,58.01,54.54,64.62,60.94,50.59,documentation,"[""documentation"", ""awareness"", ""language"", ""stigma""]","{""language"": 54.54, ""documentation"": 64.62, ""awareness"": 60.94, ""stigma"": 50.59}"
01019,01,019,"Cherokee County, Alabama",10477,3059.5,1200,1859.5,0.6077790488641935,142,0.0135534981387801,0.0127259752616555,0.1613143739681525,0.4443065763100124,0.0956380643313925,0.1881937836980653,0.237987630827783,0.1695141739047437,0.1968262918361593,0.0396310765636956,0.145233396431592,0.1601011164946282,0.0901216058637348,1181,902,high,62.07,61.42,44.87,64.22,50.48,awareness,"[""awareness"", ""language"", ""stigma"", ""documentation""]","{""language"": 61.42, ""documentation"": 44.87, ""awareness"": 64.22, ""stigma"": 50.48}"
01021,01,021,"Chilton County, Alabama",17554,4578.0,2434,2144.0,0.4683267802533857,590,0.0336105730887547,0.0261758241758241,0.1581292483819559,0.522274125555429,0.1025976985302495,0.241010989010989,0.1689230769230769,0.1630397630169761,0.1915561991756711,0.0370502395009468,0.1361479336081096,0.0998540944738281,0.0919854280510018,1049,1919,moderate,57.15,84.57,67.55,55.81,57.23,language,"[""language"", ""documentation"", ""stigma"", ""awareness""]","{""language"": 84.57, ""documentation"": 67.55, ""awareness"": 55.81, ""stigma"": 57.23}"
01023,01,023,"Choctaw County, Alabama",5174,1937.0,861,1076.0,0.5554981930820857,0,0.0,0.0032734530938123,0.1578128472993998,0.3826826439891767,0.1602241979126401,0.1989620758483034,0.2380838323353293,0.2404329339002706,0.2347227842978551,0.0567381626871711,0.1953055443140429,0.1962279293739968,0.0503018108651911,1777,1240,high,50.21,0.0,12.16,74.25,57.09,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 12.16, ""awareness"": 74.25, ""stigma"": 57.09}"
01025,01,025,"Clarke County, Alabama",8452,2983.5,1902,1081.5,0.3624937154348919,8,0.0009465215333648,0.0046048592228751,0.1473130402104472,0.4249881684808329,0.1549929010884997,0.217086220506973,0.2062099815805631,0.2431377188831046,0.2020071364852809,0.0507582515611061,0.2054311959332917,0.1266666666666666,0.1456826882177796,1772,2562,low,40.63,10.12,17.91,64.25,46.6,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 10.12, ""documentation"": 17.91, ""awareness"": 64.25, ""stigma"": 46.6}"
01027,01,027,"Clay County, Alabama",5765,1752.5,818,934.5,0.5332382310984308,20,0.0034692107545533,0.0045813363405694,0.1724339604249926,0.4405897658282741,0.1359930615784909,0.2066535100084578,0.2051029038624189,0.2053772766695576,0.1977584960231381,0.0362979031091829,0.165465032444124,0.1156207366984993,0.0903780068728522,1906,1408,high,47.09,24.7,17.72,75.73,59.0,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 24.7, ""documentation"": 17.72, ""awareness"": 75.73, ""stigma"": 59.0}"
01029,01,029,"Cleburne County, Alabama",5849,1728.0,888,840.0,0.4861111111111111,8,0.0013677551718242,0.0025567064376556,0.1460270693306325,0.4588818601470337,0.1133527098649341,0.2181067261046283,0.2043398452864822,0.2308086852453411,0.2059980006664445,0.0320559813395534,0.1315475401140432,0.1124135858130447,0.0766762913057427,2017,1768,moderate,43.01,12.51,9.43,69.98,50.5,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 12.51, ""documentation"": 9.43, ""awareness"": 69.98, ""stigma"": 50.5}"
