county_fips,state,county,total_hh,eligible_hh,enrolled_hh,gap_hh,gap_rate,lep_hh,lep_share,noncitizen_share,no_hs_share,high_income_share,poverty_share,gap_hh_rank,gap_rate_rank,gap_severity,gap_score,score_language,score_documentation,score_awareness,score_stigma,top_barrier,barrier_rank,barrier_scores,barrier_weight,priority_score,priority_rank,priority_tier
01001,01,001,22523,4803.5,1974,2829.5,0.58904965129593,110,0.004883896461395,0.0118411065193556,0.0972109794686879,0.5741242285663544,0.0669093815211117,804,1010,high,66.99,31.87,42.46,35.62,58.84,stigma,"[""stigma"", ""documentation"", ""awareness"", ""language""]","{""language"": 31.87, ""documentation"": 42.46, ""awareness"": 35.62, ""stigma"": 58.84}",0.8,53.59,1219,P3
01003,01,003,94642,18954.0,6480,12474.0,0.6581196581196581,798,0.008431774476448,0.0214424138865156,0.0826860013489313,0.5879524946641026,0.0796897783225206,175,611,critical,80.2,47.59,61.1,19.33,74.59,stigma,"[""stigma"", ""documentation"", ""language"", ""awareness""]","{""language"": 47.59, ""documentation"": 61.1, ""awareness"": 19.33, ""stigma"": 74.59}",0.8,64.16,608,P2
01005,01,005,9080,3745.0,2013,1732.0,0.4624833110814419,224,0.024669603524229,0.0170860766651856,0.2218629453142727,0.3814977973568282,0.1707048458149779,1251,1963,moderate,53.72,77.37,54.11,73.39,54.51,language,"[""language"", ""awareness"", ""stigma"", ""documentation""]","{""language"": 77.37, ""documentation"": 54.11, ""awareness"": 73.39, ""stigma"": 54.51}",1.2,64.46,592,P2
01007,01,007,7571,2528.0,1535,993.0,0.3928006329113924,53,0.0070003962488442,0.0104730949801372,0.1965978281338271,0.4464403645489367,0.1434420816272619,1846,2394,moderate,41.0,42.29,38.71,74.62,49.54,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 42.29, ""documentation"": 38.71, ""awareness"": 74.62, ""stigma"": 49.54}",1.1,45.1,1863,P4
01009,01,009,21977,5924.0,2706,3218.0,0.5432140445644834,398,0.018109842107658,0.0293968832220198,0.1730379839476958,0.5077581107521499,0.1150293488647222,722,1320,high,65.97,69.77,71.01,56.0,66.0,documentation,"[""documentation"", ""language"", ""stigma"", ""awareness""]","{""language"": 69.77, ""documentation"": 71.01, ""awareness"": 56.0, ""stigma"": 66.0}",1.0,65.97,532,P2
01011,01,011,3453,1546.0,1137,409.0,0.2645536869340233,35,0.0101361135244714,0.0207738505464211,0.2595554350772567,0.3110338835794961,0.2296553721401679,2625,2915,low,22.49,52.96,60.15,88.61,42.55,awareness,"[""awareness"", ""documentation"", ""language"", ""stigma""]","{""language"": 52.96, ""documentation"": 60.15, ""awareness"": 88.61, ""stigma"": 42.55}",1.1,24.74,3024,P4
01013,01,013,7262,2691.0,1189,1502.0,0.5581568190263843,37,0.0050950151473423,0.0072845217206359,0.1240504405955636,0.3912145414486367,0.1086477554392729,1403,1227,high,56.14,33.34,28.77,60.99,46.47,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 33.34, ""documentation"": 28.77, ""awareness"": 60.99, ""stigma"": 46.47}",1.1,61.75,714,P2
01015,01,015,45125,13577.5,7764,5813.5,0.4281716074387774,457,0.0101274238227146,0.0123298404525533,0.1391379551553537,0.4641994459833795,0.137573407202216,412,2202,moderate,65.03,52.9,43.92,42.42,54.07,stigma,"[""stigma"", ""language"", ""documentation"", ""awareness""]","{""language"": 52.9, ""documentation"": 43.92, ""awareness"": 42.42, ""stigma"": 54.07}",0.8,52.02,1340,P3
01017,01,017,13419,4455.5,2300,2155.5,0.4837840870833801,142,0.0105820105820105,0.0238896952104499,0.1637804280346348,0.4277516953573291,0.1258663089649005,1043,1781,moderate,58.01,54.54,64.62,60.94,50.59,documentation,"[""documentation"", ""awareness"", ""language"", ""stigma""]","{""language"": 54.54, ""documentation"": 64.62, ""awareness"": 60.94, ""stigma"": 50.59}",1.0,58.01,918,P3
01019,01,019,10477,3059.5,1200,1859.5,0.6077790488641935,142,0.0135534981387801,0.0127259752616555,0.1613143739681525,0.4443065763100124,0.0956380643313925,1181,902,high,62.07,61.42,44.87,64.22,50.48,awareness,"[""awareness"", ""language"", ""stigma"", ""documentation""]","{""language"": 61.42, ""documentation"": 44.87, ""awareness"": 64.22, ""stigma"": 50.48}",1.1,68.28,436,P2
01021,01,021,17554,4578.0,2434,2144.0,0.4683267802533857,590,0.0336105730887547,0.0261758241758241,0.1581292483819559,0.522274125555429,0.1025976985302495,1049,1919,moderate,57.15,84.57,67.55,55.81,57.23,language,"[""language"", ""documentation"", ""stigma"", ""awareness""]","{""language"": 84.57, ""documentation"": 67.55, ""awareness"": 55.81, ""stigma"": 57.23}",1.2,68.58,428,P2
01023,01,023,5174,1937.0,861,1076.0,0.5554981930820857,0,0.0,0.0032734530938123,0.1578128472993998,0.3826826439891767,0.1602241979126401,1777,1240,high,50.21,0.0,12.16,74.25,57.09,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 12.16, ""awareness"": 74.25, ""stigma"": 57.09}",1.1,55.23,1103,P3
01025,01,025,8452,2983.5,1902,1081.5,0.3624937154348919,8,0.0009465215333648,0.0046048592228751,0.1473130402104472,0.4249881684808329,0.1549929010884997,1772,2562,low,40.63,10.12,17.91,64.25,46.6,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 10.12, ""documentation"": 17.91, ""awareness"": 64.25, ""stigma"": 46.6}",1.1,44.69,1896,P4
01027,01,027,5765,1752.5,818,934.5,0.5332382310984308,20,0.0034692107545533,0.0045813363405694,0.1724339604249926,0.4405897658282741,0.1359930615784909,1906,1408,high,47.09,24.7,17.72,75.73,59.0,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 24.7, ""documentation"": 17.72, ""awareness"": 75.73, ""stigma"": 59.0}",1.1,51.8,1352,P3
01029,01,029,5849,1728.0,888,840.0,0.4861111111111111,8,0.0013677551718242,0.0025567064376556,0.1460270693306325,0.4588818601470337,0.1133527098649341,2017,1768,moderate,43.01,12.51,9.43,69.98,50.5,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 12.51, ""documentation"": 9.43, ""awareness"": 69.98, ""stigma"": 50.5}",1.1,47.31,1699,P4
01031,01,031,20860,5556.5,2562,2994.5,0.5389183838747413,363,0.0174017257909875,0.0257786137080267,0.1397680468241925,0.5210930009587728,0.1294822627037392,767,1353,high,65.06,68.85,67.2,49.32,73.05,stigma,"[""stigma"", ""language"", ""documentation"", ""awareness""]","{""language"": 68.85, ""documentation"": 67.2, ""awareness"": 49.32, ""stigma"": 73.05}",0.8,52.05,1336,P3
